out:L01S,out:L02S,out:L03S,out:L04S,out:L05S,out:L06S,out:L07S,out:L08S,out:L09S,out:L10S,out:L11S,out:L12S,out:L13S,out:L14S,out:L01R,out:L02R,out:L03R,out:L04R,out:L05R,out:L06R,out:L07R,out:L08R,out:L09R,out:L10R,out:L11R,out:L12R,out:L13R,out:L14R,out:LSR,out:r01,out:r02,out:r03,out:r04,out:r05,out:r06,out:r07,out:r08,out:r09,out:r10,out:r11,out:r12,out:r13,out:r14,out:P01x,out:P02x,out:P03x,out:P04x,out:P05x,out:P06x,out:P07x,out:P08x,out:P09x,out:P10x,out:P11x,out:P12x,out:P13x,out:P14x,out:P01y,out:P02y,out:P03y,out:P04y,out:P05y,out:P06y,out:P07y,out:P08y,out:P09y,out:P10y,out:P11y,out:P12y,out:P13y,out:P14y,out:P01z,out:P02z,out:P03z,out:P04z,out:P05z,out:P06z,out:P07z,out:P08z,out:P09z,out:P10z,out:P11z,out:P12z,out:P13z,out:P14z,out:Sx,out:Sy,out:Rx,out:Ry
3.95,6.25,0.25,0.25,1.4,1.5,2.424871,1.299038,0.433013,0.433013,0.433013,0.433013,0.433013,0.433013,3.970202,6.262787,0.471699,0.471699,1.8,1.1,2.675818,1.116915,0.739932,0.384057,0.739932,0.384057,0.739932,0.384057,0.4,174.217608,176.338064,122.005383,122.005383,180,180,172.989246,162.99763,153.80741,121.745843,153.80741,121.745843,153.80741,121.745843,0.25,6.5,0.25,0,0.25,0.25,1.65,1,0.5,0.5,0,0,0,0,4.2,0.25,0,0.25,0.25,0.25,1.65,1,0,0,0.5,0.5,0,0,1.5,1.5,1.5,1.5,2.9,0,2.9,0.75,1.75,1.25,1.75,1.25,1.75,1.25,0.25,0.25,0.25,0.25
3.45,6.25,0.75,0.25,1.4,1.5,2.424871,1.299038,1.299038,1.299038,0.433013,0.433013,0.433013,0.433013,3.970202,6.282714,0.471699,0.687386,1.868154,1.208305,2.968164,1.499166,1.395529,0.864581,1.023474,0.804674,0.739932,0.384057,0.640312,174.217608,174.150457,122.005383,111.327384,164.475889,155.556045,172.758047,154.825755,152.808724,154.356439,158.556482,127.58022,120.47606,76.968082,0.25,6.5,0.25,0,0.25,0.25,1.65,1,1,1,0,0,0,0,4.2,0.75,0,0.75,0.75,0.75,2.15,1.5,0,0,1,1,0.5,0.5,1.5,1.5,1.5,1.5,2.9,0,2.9,0.75,2.25,0.75,1.75,1.25,1.75,1.25,0.25,0.75,0.25,0.25
2.95,6.25,1.25,0.25,1.4,1.5,2.424871,1.299038,2.165064,2.165064,0.433013,0.433013,0.433013,0.433013,3.970202,6.342121,0.471699,1.105667,2.059126,1.486607,3.310589,1.935846,2.085066,1.532155,1.430909,1.28355,1.023474,0.804674,1.077033,174.217608,170.222518,122.005383,103.06803,150.945396,137.726311,167.583966,148.210496,150.718614,152.317105,150.168581,127.390209,94.853956,62.200922,0.25,6.5,0.25,0,0.25,0.25,1.65,1,1.5,1.5,0,0,0,0,4.2,1.25,0,1.25,1.25,1.25,2.65,2,0,0,1.5,1.5,1,1,1.5,1.5,1.5,1.5,2.9,0,2.9,0.75,2.75,0.25,1.75,1.25,1.75,1.25,0.25,1.25,0.25,0.25
2.45,6.25,1.75,0.25,1.4,1.5,2.424871,1.299038,2.424871,1.299038,0.433013,0.433013,0.433013,0.433013,3.970202,6.439915,0.471699,1.572419,2.343075,1.860108,3.689173,2.397394,2.282542,1.116915,1.883481,1.774119,1.430909,1.28355,1.552417,174.217608,166.050782,122.005383,99.148321,140.194429,126.253838,162.676959,143.780632,141.639308,100.423365,144.322655,127.016429,81.881565,58.850119,0.25,6.5,0.25,0,0.25,0.25,1.65,1,1.65,1,0,0,0,0,4.2,1.75,0,1.75,1.75,1.75,3.15,2.5,0.35,1,2,2,1.5,1.5,1.5,1.5,1.5,1.5,2.9,0,2.9,0.75,2.9,0.75,1.75,1.25,1.75,1.25,0.25,1.75,0.25,0.25
1.95,6.25,2.25,0.25,1.4,1.5,2.424871,1.299038,2.424871,1.299038,0.433013,0.433013,0.433013,0.433013,3.970202,6.574382,0.471699,2.054872,2.690725,2.282542,4.093898,2.871846,2.357965,1.499166,2.355313,2.26881,1.883481,1.774119,2.039608,174.217608,161.926567,122.005383,96.988035,131.987212,118.810794,158.556482,140.714131,129.539701,86.688344,140.547287,126.727567,74.897086,57.523193,0.25,6.5,0.25,0,0.25,0.25,1.65,1,1.65,1,0,0,0,0,4.2,2.25,0,2.25,2.25,2.25,3.65,3,0.85,1.5,2.5,2.5,2,2,1.5,1.5,1.5,1.5,2.9,0,2.9,0.75,2.9,0.75,1.75,1.25,1.75,1.25,0.25,2.25,0.25,0.25
1.45,6.25,2.75,0.25,1.4,1.5,2.511474,1.299038,2.424871,1.299038,0.433013,0.433013,0.433013,0.433013,3.970202,6.74333,0.471699,2.544111,3.080584,2.7313,4.596466,3.353729,2.531798,1.935846,2.836812,2.765411,2.355313,2.26881,2.531798,174.217608,157.947739,122.005383,95.639337,125.753887,113.749494,155.595865,138.491723,118.612491,78.822029,137.974851,126.513367,70.675307,56.830597,0.25,6.5,0.25,0,0.25,0.25,1.7,1,1.65,1,0,0,0,0,4.2,2.75,0,2.75,2.75,2.75,4.2,3.5,1.35,2,3,3,2.5,2.5,1.5,1.5,1.5,1.5,2.9,0,2.95,0.75,2.9,0.75,1.75,1.25,1.75,1.25,0.25,2.75,0.25,0.25
0.95,6.25,3.25,0.25,1.4,1.5,1.645448,1.645448,2.424871,1.299038,0.433013,0.433013,0.433013,0.433013,3.970202,6.944242,0.471699,3.036857,3.498571,3.195309,4.281063,4.099695,2.785678,2.397394,3.323778,3.263051,2.836812,2.765411,3.026549,174.217608,154.161513,122.005383,94.722044,120.963757,110.136303,147.445921,140.130856,109.366566,73.921883,136.126152,126.351312,67.88211,56.409379,0.25,6.5,0.25,0,0.25,0.25,1.2,1.2,1.65,1,0,0,0,0,4.2,3.25,0,3.25,3.25,3.25,4.2,4.2,1.85,2.5,3.5,3.5,3,3,1.5,1.5,1.5,1.5,2.9,0,2.45,0.55,2.9,0.75,1.75,1.25,1.75,1.25,0.25,3.25,0.25,0.25
0.45,6.25,3.75,0.25,1.4,1.5,0.779423,0.779423,2.424871,1.299038,0.433013,0.433013,0.433013,0.433013,3.970202,7.174434,0.471699,3.531643,3.935734,3.668787,4.065403,3.975865,3.1,2.871846,3.814119,3.761316,3.323778,3.263051,3.522783,174.217608,150.592423,122.005383,94.059282,117.216112,107.447188,138.209065,130.2558,101.821668,70.627235,134.739069,126.225372,65.908057,56.127439,0.25,6.5,0.25,0,0.25,0.25,0.7,0.7,1.65,1,0,0,0,0,4.2,3.75,0,3.75,3.75,3.75,4.2,4.2,2.35,3,4,4,3.5,3.5,1.5,1.5,1.5,1.5,2.9,0,1.95,1.05,2.9,0.75,1.75,1.25,1.75,1.25,0.25,3.75,0.25,0.25
3.95,5.75,0.25,0.75,1.4,1.5,2.424871,1.399999,0.433013,0.433013,1.299038,1.299038,0.433013,0.433013,4.001562,6.262787,0.687386,0.471699,1.868154,1.208305,2.968164,1.591117,1.023474,0.804674,1.395529,0.864581,0.739932,0.384057,0.640312,170.792198,176.338064,111.327384,122.005383,164.475889,155.556045,172.758047,156.372413,158.556482,127.58022,152.808724,154.356439,120.47606,76.968082,0.75,6.5,0.75,0,0.75,0.75,2.15,1.55829,1,1,0,0,0.5,0.5,4.2,0.25,0,0.25,0.25,0.25,1.65,1.05829,0,0,1,1,0,0,1.5,1.5,1.5,1.5,2.9,0,2.9,0.69171,1.75,1.25,2.25,0.75,1.75,1.25,0.75,0.25,0.25,0.25
3.45,5.75,0.75,0.75,1.4,0.75,2.424871,1.399999,1.299038,1.299038,1.299038,1.299038,1.299038,1.299038,4.001562,6.282714,0.687386,0.687386,1.933908,0.788987,3.234192,1.894715,1.716828,1.32193,1.716828,1.32193,1.203121,0.497494,0.812404,170.792198,174.150457,111.327384,111.327384,158.553258,116.334248,178.553371,157.179811,153.020064,143.899382,153.020064,143.899382,142.353793,170.553767,0.75,6.5,0.75,0,0.75,0.75,2.15,1.55829,1.5,1.5,0,0,0,0,4.2,0.75,0,0.75,0.75,0.75,2.15,1.55829,0,0,1.5,1.5,0,0,1.5,1.5,1.5,1.5,2.9,0.75,2.9,0.69171,2.25,0.75,2.25,0.75,2.25,0.75,0.75,0.75,0.25,0.25
