out:Speech Transmission Index_1,out:Speech Transmission Index_2,out:Speech Transmission Index_3
0.844987,0.869467,0.883517
0.769496,0.804941,0.816937
0.680743,0.724738,0.734702
0.631823,0.68019,0.689814
0.615808,0.667192,0.676493
0.602798,0.656328,0.665249
0.592165,0.646973,0.65568
0.588316,0.64498,0.653412
0.768753,0.804288,0.816261
0.72236,0.761588,0.772577
0.65895,0.703839,0.71373
0.633729,0.683008,0.692288
0.605585,0.658185,0.667336
0.584671,0.639349,0.647772
0.589633,0.644376,0.653179
0.585865,0.64198,0.650447
0.685552,0.729488,0.739636
0.66529,0.710466,0.720345
0.62674,0.675237,0.68467
0.614983,0.666926,0.676211
0.594164,0.647874,0.65657
0.591036,0.646723,0.655234
0.583954,0.641319,0.649639
0.575081,0.63395,0.641732
0.637199,0.68657,0.696048
0.62421,0.674289,0.683497
0.614523,0.666547,0.675464
0.593214,0.647247,0.655536
0.59787,0.652002,0.660619
0.577124,0.633041,0.641225
0.584586,0.640194,0.648928
0.581896,0.639301,0.647445
0.599958,0.651649,0.660376
0.594434,0.647374,0.656023
0.598752,0.652945,0.661839
0.592425,0.646628,0.655366
0.59092,0.646871,0.655295
0.580024,0.638204,0.646289
0.579278,0.63752,0.645557
0.575967,0.63536,0.643243
0.600027,0.654906,0.663621
0.586083,0.64045,0.648972
0.57594,0.632842,0.641048
0.587287,0.642266,0.650897
0.580377,0.637169,0.645381
0.579672,0.638046,0.645998
0.577348,0.63649,0.644283
0.573268,0.631305,0.639465
0.574095,0.631877,0.639718
0.574899,0.63262,0.640712
0.565918,0.62466,0.632521
0.565929,0.62464,0.632367
0.563825,0.623924,0.631412
0.56695,0.626793,0.634366
0.569013,0.629765,0.637335
0.557891,0.617822,0.6252
0.580811,0.639556,0.647544
0.566561,0.625965,0.633436
0.567938,0.627238,0.635206
0.563657,0.623602,0.631364
0.567778,0.628573,0.635998
0.556302,0.617909,0.625369
0.561848,0.624785,0.631893
0.543262,0.605256,0.61191
0.557335,0.617352,0.624665
0.559081,0.620269,0.627706
0.557078,0.618813,0.625907
0.563178,0.62439,0.631866
0.567264,0.629705,0.637036
0.574981,0.636405,0.643957
0.577525,0.638954,0.646764
0.55824,0.620095,0.627648
0.561248,0.623537,0.630491
0.573343,0.63413,0.641878
0.565914,0.626131,0.633669
0.564804,0.628384,0.635359
0.57472,0.637534,0.644977
0.562645,0.624619,0.632008
0.559458,0.621103,0.628285
0.554855,0.618515,0.625371
0.552474,0.617046,0.623651
0.575802,0.636965,0.644677
0.54664,0.608773,0.615664
0.555735,0.620358,0.627163
0.559009,0.621503,0.62881
0.569625,0.631598,0.63913
0.561319,0.624545,0.631572
0.554972,0.618833,0.625461
0.573695,0.635927,0.643444
0.554403,0.617477,0.624335
0.554354,0.618975,0.625643
0.572057,0.636465,0.643654
0.558491,0.622555,0.629266
0.556632,0.621573,0.628322
0.555114,0.619888,0.626577
0.548765,0.61306,0.619569
0.56557,0.626998,0.634351
0.567292,0.630343,0.637593
0.551479,0.616747,0.623055
0.565033,0.62818,0.635219
0.555754,0.619883,0.626584
0.567003,0.630485,0.637741
0.560058,0.624399,0.631331
0.553371,0.61878,0.625052
0.763349,0.796485,0.808018
0.830429,0.853994,0.867144
0.754508,0.788534,0.799798
0.668896,0.710102,0.719731
0.636165,0.681633,0.691213
0.603428,0.652192,0.661174
0.607096,0.656025,0.665199
0.589017,0.639749,0.648543
0.721212,0.7586,0.769327
0.75204,0.785763,0.797032
0.713726,0.751902,0.762317
0.656471,0.699317,0.708932
0.621835,0.668232,0.677391
0.602284,0.652268,0.661049
0.594705,0.644051,0.652903
0.591744,0.64312,0.651919
0.664349,0.708161,0.717788
0.668891,0.709752,0.719629
0.652145,0.695184,0.704602
0.626488,0.671819,0.681261
0.614347,0.662104,0.671385
0.596788,0.646982,0.655794
0.597335,0.647931,0.656719
0.582131,0.635334,0.64386
0.631092,0.677158,0.686614
0.620624,0.666434,0.675525
0.621713,0.668496,0.677703
0.603925,0.650928,0.659923
0.600313,0.649949,0.658649
0.588665,0.638926,0.647462
0.58898,0.64069,0.649601
0.586202,0.638517,0.647146
0.603952,0.652493,0.661573
0.615552,0.664392,0.673714
0.606189,0.654959,0.663969
0.594043,0.643769,0.652655
0.595713,0.646189,0.654887
0.585594,0.637557,0.64605
0.583647,0.636761,0.645404
0.572663,0.625719,0.63412
0.590976,0.641083,0.649949
0.588844,0.639111,0.647999
0.597509,0.6486,0.657518
0.596271,0.64821,0.657197
0.588897,0.640997,0.649729
0.590253,0.643134,0.65194
0.586434,0.640672,0.649283
0.580767,0.634155,0.64254
0.587524,0.639341,0.648292
0.57968,0.632683,0.641029
0.577685,0.630589,0.639027
0.577291,0.630771,0.639231
0.574297,0.62905,0.637401
0.573578,0.628176,0.636569
0.576827,0.63207,0.640303
0.573711,0.629597,0.637952
0.577871,0.631462,0.639896
0.575779,0.629352,0.637778
0.581923,0.636788,0.645345
0.563624,0.620054,0.628081
0.573767,0.629462,0.637785
0.568465,0.624969,0.633089
0.583587,0.639132,0.647502
0.569962,0.626682,0.634826
0.596122,0.64922,0.658152
0.576984,0.632302,0.640831
0.581111,0.636021,0.644593
0.574023,0.628764,0.637248
0.583532,0.638705,0.647339
0.566826,0.622922,0.631206
0.574312,0.6303,0.638531
0.572118,0.627966,0.636351
0.574875,0.628886,0.637465
0.58274,0.638712,0.647072
0.577677,0.634983,0.643166
0.571324,0.626574,0.63479
0.570647,0.627646,0.635889
0.57383,0.629854,0.638229
0.568235,0.624849,0.633068
0.577885,0.633738,0.642078
0.57,0.625923,0.634336
0.57671,0.63197,0.640434
0.561382,0.619646,0.627483
0.583121,0.640249,0.648733
0.571662,0.628035,0.636352
0.57286,0.630086,0.638443
0.564783,0.622886,0.630605
0.575122,0.63292,0.640956
0.584423,0.642307,0.650501
0.569379,0.627156,0.635162
0.573149,0.630727,0.638885
0.58331,0.640108,0.648581
0.568174,0.625381,0.633442
0.569088,0.627362,0.635455
0.566653,0.625675,0.633548
0.570996,0.628124,0.636392
0.57581,0.632935,0.641172
0.573496,0.631711,0.63973
0.565137,0.622735,0.630651
0.56852,0.627151,0.635084
0.571984,0.629547,0.637764
0.573075,0.630248,0.63862
0.569328,0.627369,0.635326
0.567262,0.625512,0.633652
0.682723,0.72319,0.733289
0.7526,0.786858,0.798033
0.828581,0.852658,0.865698
0.748742,0.782848,0.79389
0.667507,0.709439,0.719203
0.624439,0.66907,0.678414
0.605911,0.653505,0.662673
0.59918,0.64902,0.657992
0.66555,0.706964,0.716839
0.710985,0.748393,0.758777
0.753631,0.788559,0.79965
0.712479,0.751657,0.761903
0.651654,0.694843,0.704297
0.619656,0.666043,0.675233
0.598987,0.647121,0.656296
0.59272,0.642346,0.65127
0.636847,0.681081,0.690489
0.648654,0.690768,0.700165
0.661958,0.704184,0.713952
0.647299,0.690432,0.699997
0.618389,0.663899,0.673008
0.601147,0.648809,0.657789
0.593068,0.643197,0.651946
0.586901,0.638081,0.646724
0.615434,0.661903,0.670958
0.62318,0.670562,0.679677
0.619162,0.664597,0.673956
0.615548,0.661826,0.670856
0.60262,0.650472,0.65954
0.596505,0.647007,0.655711
0.593922,0.644595,0.653398
0.592378,0.644482,0.65323
0.604581,0.654275,0.663249
0.606062,0.65463,0.663663
0.604556,0.653076,0.6624
0.595045,0.64501,0.654009
0.597547,0.647733,0.656688
0.588447,0.63974,0.648323
0.593483,0.645102,0.653719
0.581698,0.634794,0.643217
0.584769,0.635893,0.64451
0.59374,0.644957,0.653659
0.591234,0.642068,0.651009
0.594106,0.643879,0.652764
0.58771,0.63871,0.647549
0.59197,0.643565,0.652363
0.580044,0.633544,0.641931
0.582288,0.635098,0.643871
0.5797,0.63128,0.64016
0.578651,0.631359,0.63973
0.585323,0.638194,0.646786
0.57908,0.633221,0.641535
0.580502,0.634963,0.643229
0.577417,0.631908,0.64021
0.575487,0.630396,0.638778
0.574963,0.630665,0.639018
0.57666,0.630429,0.639045
0.574116,0.628515,0.636897
0.56903,0.623859,0.632129
0.570968,0.62473,0.632989
0.570967,0.624518,0.632875
0.56783,0.623727,0.631769
0.572341,0.627099,0.63536
0.572648,0.628061,0.636284
0.58,0.634632,0.643094
0.575701,0.631115,0.639526
0.577013,0.632661,0.640885
0.570712,0.624895,0.633531
0.565678,0.621051,0.629258
0.583075,0.639549,0.647902
0.574451,0.630394,0.638626
0.580372,0.63672,0.645141
0.579077,0.634537,0.64299
0.569225,0.62616,0.634162
0.577097,0.633262,0.641709
0.575855,0.633022,0.641221
0.563072,0.621082,0.628947
0.569446,0.625995,0.633879
0.56884,0.625122,0.633321
0.574207,0.630878,0.639303
